"General|All|file","General|All|label","General|All|group","General|All|group2","Stats|All|n value","PCA|All|PC1 (41.6%)","PCA|All|PC2 (18.2%)","PCA|All|PC3 (9.3%)","PCA|All|PC4 (7%)","PCA|All|PC5 (6.1%)","PCA|All|PC6 (4.5%)"
"IGF-1_1_Met_PB_06-12-20","IGF-1_1_Met_PB_06-12-20","IGF","IGF",1063,-5.02022816839126,0.323894487213214,4.2921349125851,2.33721075653749,-1.49458114190551,2.68568714795211
"IGF-1_2_1_Met_PB_06-12-20","IGF-1_2_1_Met_PB_06-12-20","IGF","IGF",1052,-7.9095483053584,-3.27833501835655,-0.455476086577099,-2.02600855389017,2.12588268586469,0.858705264112425
"IGF-1_3_1_Met_PB_06-12-20","IGF-1_3_1_Met_PB_06-12-20","IGF","IGF",1040,-7.39295651877676,-3.24700198499699,0.183633206373695,-1.916965992354,0.077339316803693,-0.960255936955752
"Rapamycin_1_Met_PB_06-12-20","Rapamycin_1_Met_PB_06-12-20","Rapamycin","Rapamycin",867,6.90856627257042,-3.57393232998719,-0.644072772138196,0.879461720694361,-0.640633878067141,0.955498256345366
"Rapamycin_2_1_Met_PB_06-12-20","Rapamycin_2_1_Met_PB_06-12-20","Rapamycin","Rapamycin",915,4.21670967067198,-3.05739084063146,-3.55328784402536,0.489704167169178,-0.343898891416302,0.966510895928647
"Rapamycin_3_1_Met_PB_06-12-20","Rapamycin_3_1_Met_PB_06-12-20","Rapamycin","Rapamycin",766,9.39779444970543,-2.50893703987834,3.31809717327034,-1.87272599747174,1.46388345800787,-0.184456533512594
"QC1_wdh","QC1_wdh","QC","QC",1058,-0.517054770822848,1.07882747380345,0.136207741391483,3.66909600450976,-1.59608301808957,-0.533133652906971
"QC2","QC2","QC","QC",1030,-1.49453157267461,-1.07685677391058,-0.692280248796259,0.829957360642551,-1.90402555663226,-4.18354809580542
"V_Control_1_Met","V_Control_1_Met","Control","Control",991,1.30982969198083,5.34428414598755,2.08891046942405,0.797293434743319,3.70959631555118,-1.53743289670937
"V_Control_2_1_Met","V_Control_2_1_Met","Control","Control",962,1.42575961154831,5.9741259810047,-0.199175372489235,-4.19449594795192,-3.32729137111695,0.640125339308513
"V_Control_3_1_Met","V_Control_3_1_Met","Control","Control",1038,-0.924340360453097,4.0213218997522,-4.47469117901852,1.00747304737119,1.92981208100029,1.29230021224305
