Filename,Group
210208_M078_03_HILIC_neg_IGF-1_1.1_Met_PB_06-12-20.mzML,IGF1.1
210208_M078_03_HILIC_neg_IGF-1_2.1_Met_PB_06-12-20.mzML,IGF1.2
210208_M078_03_HILIC_neg_IGF-1_3.1_Met_PB_06-12-20.mzML,IGF1.3
210208_M078_03_HILIC_neg_QC1_wdh.mzML,QC1
210208_M078_03_HILIC_neg_QC2.mzML,QC2
210208_M078_03_HILIC_neg_Rapamycin_1.1_Met_PB_6-12-20.mzML,Rapamycin.1
210208_M078_03_HILIC_neg_Rapamycin_2.1_Met_PB_6-12-20.mzML,Rapamycin.2
210208_M078_03_HILIC_neg_Rapamycin_3.1_Met_PB_6-12-20.mzML,Rapamycin.3
210208_M078_03_HILIC_neg_V._Control_1.1_Met_PB_6-12-20.mzML,VControl1
210208_M078_03_HILIC_neg_V._Control_2.1_Met_PB_6-12-20.mzML,VControl2
210208_M078_03_HILIC_neg_V._Control_3.1_Met_PB_6-12-20.mzML,VControl3
