ID,IGF1.1,IGF1.2,IGF1.3,QC1,QC2,Rapamycin.1,Rapamycin.2,Rapamycin.3,VControl1,VControl2,VControl3
2049,3.661907013871472,3.757544907614897,3.546027183998748,3.701710572068017,3.0946154311680534,3.956165199586014,3.956342406118288,2.819218995416949,3.6287433124626265,3.743593049176571,3.0674753810404245
2050,3.07899029252594,3.5119282180845857,3.2197518145182937,3.127110259324088,3.5903272541507163,3.14626473137947,3.0829918058378625,,3.0468249456378524,3.3915303166647823,3.809691848775603
2051,3.0726224723334545,3.0699066044655483,3.089971205583245,3.114036118340358,2.939215473059892,3.150003769222654,3.153491506645456,,3.286048764504675,3.4037899417613358,3.138194359468683
2052,3.1909363320572184,3.3406635508970077,3.981062661318648,3.2758190976949444,3.571279547799689,3.6540655848728094,3.39154675388268,,3.285243169967033,3.2003277480473997,3.163190450036532
2053,3.029021375508003,3.6798862312783016,,,3.203460161681212,3.757329130869437,3.259935586564277,,3.2291435785205103,3.764052850235429,3.6651244186615433
2054,3.1315945777606635,3.2122920947085385,3.1694076011642967,3.129230539321789,3.3609735056372068,3.047354242716586,2.9928080756613684,3.204565689453475,3.654600815004964,3.2163271354532035,3.18382212136389
2055,,3.09069523270399,3.034219188411944,3.287176343466345,3.1579713419900632,3.316634431663108,3.1597315961948977,,3.229130761845468,3.7377333917313194,3.034194544247217
2058,3.3663817632565176,3.090622312820337,3.4275683001164,,3.121313275687578,3.0991619319528776,3.0567738676076,,3.2567310411081123,3.9361490562391994,3.0753399284032543
2059,2.9790195852641386,3.1591705234588576,3.423272500357731,3.1761662052116457,3.160542439994791,3.689668217410272,3.1827908225950265,3.0111665487135597,3.3672554461668573,3.1497086912015835,3.1517207424405584
2060,3.2822775688948784,3.160335151915464,3.063291054056815,3.445425696955056,3.4442518156652047,3.185466769530912,3.037952935208467,,3.0422157409247617,3.635891631897228,3.157809174085397
2061,3.0841198424108804,2.986679865793111,3.329593021657986,3.143148877301548,3.0351361703311954,3.209410761675352,3.2712119910893094,,,2.9319082619275805,3.202226984875835
2062,,3.4693820978233623,3.14067934603271,3.324746145374221,,3.5769410763370955,3.3452220087275912,,3.4133750579526074,3.265775647117406,
51,3.1033710303294737,4.460650882583772,,3.061120651571552,3.363951865662045,,,3.638958814506655,3.5182179463616765,,3.4366883132279047
94,3.8433217660920023,3.9633727294753616,3.987580318825173,,3.942582987210364,3.45768683046946,3.800777042930164,,3.8658630783269183,4.141353847667599,
96,3.241833187879285,3.3852655827581,3.341879964872543,3.1776152359953085,3.128045356855353,3.7942352940479687,3.393046430176758,,3.379991647617617,2.7355558176101105,3.2562186526228
