ID,General.All.ID,General.All.rtmed,General.All.mzmed,General.All.annot_ms1,General.All.annot_ms2,PCA_filled.All_samples.PC1..59.2..,PCA_filled.All_samples.PC2..18.4..,PCA_filled.All_samples.PC3..6.2..,PCA_filled.All_samples.PC4..5.1..,PCA_filled.All_samples.PC5..3.6..,PCA_filled.All_samples.PC6..2.6..,PCA_nofill.All_samples.PC1..62.7..,PCA_nofill.All_samples.PC2..16.5..,PCA_nofill.All_samples.PC3..5.7..,PCA_nofill.All_samples.PC4..5.5..,PCA_nofill.All_samples.PC5..3.3..,PCA_nofill.All_samples.PC6..2..,General.All.annotLabel,General.Extended.mzmin,General.Extended.mzmax,General.Extended.rtmin,General.Extended.rtmax,General.Extended.npeaks,General.Extended.peakidx,General.Extended.ms2spectrum,General.Extended.purity,PCA_filled.samples_controls.PC1..60.9..,PCA_filled.samples_controls.PC2..19.2..,PCA_filled.samples_controls.PC3..6.4..,PCA_filled.samples_controls.PC4..4.7..,PCA_filled.samples_controls.PC5..3.6..,PCA_filled.samples_controls.PC6..2.6..,PCA_filled.samples_controls.PC7..1.5..,PCA_filled.samples_controls.PC8..1.1..,PCA_filled.samples_controls.PC9..0..,PCA_filled.samples.PC1..70.9..,PCA_filled.samples.PC2..18.7..,PCA_filled.samples.PC3..5.1..,PCA_filled.samples.PC4..3.8..,PCA_filled.samples.PC5..1.4..,PCA_filled.samples.PC6..0..,PCA_filled.QC_controls.PC1..47..,PCA_filled.QC_controls.PC2..24.1..,PCA_filled.QC_controls.PC3..21.1..,PCA_filled.QC_controls.PC4..7.9..,PCA_filled.QC_controls.PC5..0..,PCA_nofill.samples_controls.PC1..64.5..,PCA_nofill.samples_controls.PC2..17.1..,PCA_nofill.samples_controls.PC3..5.9..,PCA_nofill.samples_controls.PC4..4.9..,PCA_nofill.samples_controls.PC5..3.3..,PCA_nofill.samples_controls.PC6..2..,PCA_nofill.samples_controls.PC7..1.3..,PCA_nofill.samples_controls.PC8..1.1..,PCA_nofill.samples_controls.PC9..0..,PCA_nofill.samples.PC1..74.1..,PCA_nofill.samples.PC2..15.7..,PCA_nofill.samples.PC3..5.2..,PCA_nofill.samples.PC4..3.7..,PCA_nofill.samples.PC5..1.3..,PCA_nofill.samples.PC6..0..,PCA_nofill.QC_controls.PC1..46.6..,PCA_nofill.QC_controls.PC2..24.5..,PCA_nofill.QC_controls.PC3..21.4..,PCA_nofill.QC_controls.PC4..7.6..,PCA_nofill.QC_controls.PC5..0..,Stats.Mean.IGF,Stats.N.value.IGF,Stats.Quantile.IGF,Stats.Mean.QC,Stats.N.value.QC,Stats.Quantile.QC,Stats.Mean.Rapamycin,Stats.N.value.Rapamycin,Stats.Quantile.Rapamycin,Stats.Mean.Control,Stats.N.value.Control,Stats.Quantile.Control,ttest.IGF_vs_QC.pvalue,ttest.IGF_vs_QC.log.pvalue,ttest.IGF_vs_QC.fdr,ttest.IGF_vs_QC.log.fdr,ttest.IGF_vs_QC.mean.diff,ttest.IGF_vs_Rapamycin.pvalue,ttest.IGF_vs_Rapamycin.log.pvalue,ttest.IGF_vs_Rapamycin.fdr,ttest.IGF_vs_Rapamycin.log.fdr,ttest.IGF_vs_Rapamycin.mean.diff,ttest.IGF_vs_Control.pvalue,ttest.IGF_vs_Control.log.pvalue,ttest.IGF_vs_Control.fdr,ttest.IGF_vs_Control.log.fdr,ttest.IGF_vs_Control.mean.diff,ttest.QC_vs_Rapamycin.pvalue,ttest.QC_vs_Rapamycin.log.pvalue,ttest.QC_vs_Rapamycin.fdr,ttest.QC_vs_Rapamycin.log.fdr,ttest.QC_vs_Rapamycin.mean.diff,ttest.QC_vs_Control.pvalue,ttest.QC_vs_Control.log.pvalue,ttest.QC_vs_Control.fdr,ttest.QC_vs_Control.log.fdr,ttest.QC_vs_Control.mean.diff,ttest.Rapamycin_vs_Control.pvalue,ttest.Rapamycin_vs_Control.log.pvalue,ttest.Rapamycin_vs_Control.fdr,ttest.Rapamycin_vs_Control.log.fdr,ttest.Rapamycin_vs_Control.mean.diff,General.All.namesirius,General.All.mappingFeatureIdsirius,General.All.SiriusScoreNormalized_sirius,General.All.NPCpathwaysirius,General.All.Probability_sirius,General.All.NPCsuperclasssirius,General.All.NPCsuperclassProbabilitysirius,General.All.NPCclass_sirius,General.All.NPCclassProbabilitysirius
FT0001,FT0001,255.332508501612,57.0347643277222,HMDB:HMDB01659-1672 Acetone_M+H;HMDB:HMDB01659-1673 Acetone_,1,-1.01102094471064E-05,-0.0191660473202703,0.00626135822047016,0.030907429823626,0.000554294650301468,-0.00047979336701654,-0.000206845026401441,-0.0229556895978996,0.00026927910271025,0.032721253270458,-0.000918327641591687,-0.00177136384851575,No_MS2,57.0346021297937,57.034933129825,253.695524079177,256.441422413789,8,1;3897;5014;6124;7198;8918;10017;11119;12758;13150;15837,,0,0.00072475942365127,-0.0189491592241531,0.00866238750892391,0.0256396832646174,-0.00239951374742894,-0.001533931354439,-0.00157552097178786,-0.0159645789238444,0.0361114054621771,0.0019962976846076,-0.0178234589830245,0.0252591220754413,0.000349449156516838,0.0141740694158475,-0.240406279805216,-0.00191554338839982,0.0162288294821637,-0.0192437403686512,0.00278984665591143,0.0859767366290711,0.00050836378830312,-0.0225413853200427,0.00950665969014098,0.0268774293084028,-0.00123523110460594,-0.00514919351088735,-0.000769695098423643,-0.0203648048732927,0.220036993204298,0.00189425464491003,-0.0218711880381565,0.0263748284559018,0.00191803796191559,0.0192419937269383,0.116673274988978,-0.00251865974814457,0.0178474112356689,-0.0187834610475225,0.00358495127389515,0.155587272231751,4.21680572075923,3,0.26892792247123,4.48878225638479,2,0.458509993943065,4.41059427896656,3,0.440944881889764,4.41792953685836,3,0.412477286493035,0.098170927259323,1.0080171069202,0.299837795128304,0.523113624386004,-0.271976535625554,0.126372458986314,0.898347563818879,0.447727317138208,0.348986407246086,-0.193788558207331,0.120802394677158,0.917924456569458,0.310769342937027,0.507561830443757,-0.201123816099126,0.324742235389421,0.488461224143595,0.906090552686763,0.0428283977238339,0.0781879774182235,0.390589910165092,0.408278979727687,0.837558858078331,0.0769846638845991,0.0708527195264281,0.924245061170873,0.0342128614602574,0.959212909426695,0.0180849849810898,-0.00733525789179534,,,,,,,,,
FT0002,FT0002,38.76500610308,57.9758890267634,,NI,0.0114845185850174,0.00242422393615849,0.0144994828498487,0.0786526168313271,-0.0737024504811001,0.0417660199643152,0.0126955946165355,0.00135564875119312,0.0118970851429938,0.0889059129869737,0.0923292299047942,-0.00122511879565182,No_MS2,57.9755699633076,57.9763928390306,35.9365036659774,39.6399515060583,11,2;1247;2621;3898;5015;6125;7199;8291;8919;10018;11120,,0,0.0120447104733018,0.00264150620270171,0.0201276573961286,0.0679489215588077,-0.0914879436354855,0.0671408554452019,-0.0430220124832518,0.123309315097764,0.0871855377833438,0.0131213743730477,0.00445909844333315,0.0595096265741017,-0.0868242361586395,-0.117653986087192,0.305052899464375,-0.0408320017710225,-0.0559219804521751,-0.0565959794306132,-0.0261134224928377,0.00359902312644473,0.013233533927887,0.00178707937337896,0.0364880853247475,0.0766230473743168,-0.113621460816353,0.0304635566145899,-0.0503388440365775,0.139213754384833,0.0875850875462404,0.0141343126879528,0.0035885750512725,0.0748363565020795,-0.08417003565728,-0.140725067750032,0.201276889827541,-0.0402175780318003,-0.0569586034404531,-0.0637408698534396,-0.0290431710551001,0.0650507355541873,5.83717733303199,3,0.946698970321018,6.02405751053481,2,0.967898243488795,5.98425858853126,3,0.956390066626287,6.04995739104457,3,0.969715324046033,0.614915522498226,0.211184543790223,0.770513447264114,0.113219777423641,-0.186880177502821,0.725765108190778,0.139203914730747,0.849212043673263,0.0709838552223013,-0.14708125549927,0.586465997363514,0.23175716272233,0.717420200038898,0.144226399277112,-0.212780058012589,0.922933934256544,0.0348293856639263,0.964861710642673,0.0155349277013191,0.0397989220035511,0.941356642746893,0.0262458084188424,0.988094910177993,0.00520133781429699,-0.0258998805097681,0.873044723090606,0.0589635083059208,0.938409399624083,0.0276076507386203,-0.0656988025133192,,,,,,,,,
FT0003,FT0003,60.8206696553643,61.9894788128412,,NI,0.00704370566245427,0.00158394148848722,0.0182807005364174,0.018123894648583,-0.00335306975943583,0.0486744865269249,0.00761542113180225,-0.000100659018321862,0.0166448480670887,0.0244372673666297,0.0152649733803526,0.0589748499417313,No_MS2,61.9891821119719,61.9903331699321,57.8427220119012,62.5197732962974,11,3;1248;2622;3899;5016;6126;7200;8292;8920;10019;11121,,0,0.00756244370763062,0.00173910984789867,0.0201169895375042,0.00916978396172255,0.000474688418300162,0.047218253676252,-0.0295823862346686,0.0187385092670066,-0.0351747783502253,0.00836147577534571,0.00960350131993774,0.00960400731608795,-0.0314156932171945,-0.0361771358237057,0.0165026088288645,0.00618457505920411,0.0202294714914906,-0.025080582236117,-0.0106210257036075,-0.199403934501327,0.00811487221808959,0.000191755212763423,0.0233887000305372,0.0102866040461458,-0.011408159993652,0.0592314728838149,-0.0317229716102213,0.0233955527887031,-0.0533910478463301,0.00912956590206159,0.0108673191558522,0.014276566478203,-0.0319921603009041,-0.0451045730032064,0.000145398721447561,0.00589654343494823,0.0230752872157305,-0.0244181144116158,-0.0104313145153165,0.00122027311851978,7.36545743001596,3,0.999394306480921,7.48703398366151,2,0.999394306480921,7.39604419235767,3,0.998788612961841,7.44821824901939,3,1,0.319800217108941,0.495121245751813,0.537869427439274,0.269323140365415,-0.121576553645547,0.856790297501902,0.0671254602028619,0.916206766056345,0.0380065053452606,-0.0305867623417049,0.510493088955419,0.292010133006732,0.658011496487272,0.181766518517706,-0.082760819003429,0.644430450222121,0.190823946758406,0.906090552686763,0.0428283977238339,0.0909897913038424,0.741244481614811,0.130038526832616,0.938075326310685,0.0277622869006814,0.0388157346421183,0.762007477880213,0.118040766736282,0.879396437940236,0.0558152978543987,-0.0521740566617241,,,,,,,,,
FT0004,FT0004,332.614080942993,62.9643348598366,Carbon monoxide,1,-0.0137839143660119,-0.00992959664811873,-0.00262751918826968,0.0120736807179008,-0.00141613453246165,0.00736900812707986,-0.015030834033982,-0.0106579347021085,-0.00559412468365759,0.0132958304634875,0.00443774736542847,0.00283070376309856,No_MS2,62.9639020407041,62.9645263244885,330.725274951034,333.631231923244,10,6;1251;2625;3902;5019;6129;7202;8923;10022;11124;15838,,0,-0.0136535008087019,-0.00990080856436116,-0.00192813422441429,0.0122638120224865,-0.00403549953952304,0.0100814310165225,-0.00506057104813054,0.00174535748843075,0.114439343702583,-0.0130829899192141,-0.0112612138915842,0.00960305948900662,-0.0115778475693341,-0.00397608428393655,0.0682909347173985,0.00312934420237206,0.00297389290222174,-0.00624131708144924,0.00368864100000742,0.0815127741745215,-0.0148854791908944,-0.0105741918768368,-0.00183542022741702,0.0146835217072624,-0.00788006105709426,0.00712956651196097,-0.00497343571571791,0.00195894205309704,-0.101972236788799,-0.0143111258918225,-0.0126137364563197,0.0114667808751979,-0.0115571185958228,-0.00411547490043519,0.107397806823902,0.00320706541672343,0.00368012512394423,-0.00616974495355635,0.0041204563653238,-0.0377777271811073,4.57965007915075,3,0.531193216232586,4.63300725313517,2,0.554209569957601,4.50584037765929,3,0.494851605087826,4.64044473393229,3,0.565717746820109,0.28146176062523,0.55058060002232,0.496927669455036,0.303706820607894,-0.0533571739844199,0.689860006860823,0.161239031605236,0.826530385578533,0.0827411759140496,0.0738097014914567,0.163941090247507,0.785312181077497,0.348056628480236,0.458350091008269,-0.0607946547815388,0.601918979646242,0.220461962331175,0.906090552686763,0.0428283977238339,0.127166875475877,0.800435706810198,0.0966735460668772,0.95530789708237,0.0198566321305979,-0.00743748079711892,0.473567377277489,0.32461822257811,0.791356012029488,0.101628093902945,-0.134604356272995,,,,,,,,,
FT0005,FT0005,461.120641549199,62.9642491928884,Carbon monoxide,1,-0.0282691582725614,-0.0101721522063305,-0.000137141091078515,0.00920176232301519,-6.08301353350067E-05,0.012061416949447,-0.0306409565456854,-0.0103451961854743,-0.00255229857147651,0.0111714694864715,0.0045798213805813,0.0109327398673993,No_MS2,62.9640526243709,62.9644474071037,459.89698803823,462.341944455059,10,4;1250;2624;3901;5018;6128;7201;8922;10021;11123;15839,,0,-0.0279667434807953,-0.0101547168897171,0.000885086899142796,0.00670161550679834,0.000384583605327374,0.0112459305558456,-0.00129063149351337,0.0105617461056502,0.071793450489783,-0.0271299016019885,-0.0107438447673418,0.0070567536130291,-0.00751111885226314,-0.0128574192872008,0.159937549327092,0.00445902972836036,0.0100553190050321,0.00257465910724228,-0.00501075036776153,-0.018271871651766,-0.030313691735765,-0.0102903838924493,0.00110687927803779,0.00833710866299279,-0.00405251451890342,0.00995087319145754,0.000303999485973879,0.0119166717441985,-0.0688741741771699,-0.0294477026649815,-0.0110214781020685,0.00883605841238755,-0.0062815443055195,-0.0137509291337673,0.213419591040782,0.00427655559180281,0.0105981366801984,0.00348338192030656,-0.00506466249355419,-0.0184917115282032,4.96080029102739,3,0.725015142337977,5.01493919853948,2,0.746820109024833,4.6829145428853,3,0.588128407026045,4.99760951789374,3,0.747425802543913,0.354534019274446,0.450342085800209,0.562396611849188,0.249957304381607,-0.0541389075120833,0.407821138774091,0.389530266995812,0.657791996377203,0.181911415058841,0.277885748142087,0.486961112942941,0.312505718679836,0.640349980257503,0.193582599530014,-0.0368092268663496,0.452317769247354,0.344556350714199,0.906090552686763,0.0428283977238339,0.332024655654171,0.696130061164165,0.157309611583522,0.93065087178401,0.0312132114941014,0.0173296806457337,0.353294778332842,0.451862781353696,0.772938551481152,0.111855031066702,-0.314694975008437,,,,,,,,,
FT0006,FT0006,59.8231885015011,62.9856970312846,,NI,0.00720392386217269,-0.00245467623342295,0.0149270233802848,0.0159235241999409,-0.004942251123317,0.0331084787311015,0.00775805533243469,-0.00450794337463143,0.0132326953053572,0.0202914063686789,0.0138937827758565,0.0375949972285956,No_MS2,62.985267089533,62.9859746700833,59.0710010802811,61.4412758166559,10,5;1249;2623;3900;5017;6127;7203;8921;10020;11122;15840,,0,0.00765724201584658,-0.00232861198997868,0.0166020587000015,0.00859882063993616,-0.00266435036267719,0.0324224503459398,-0.00672516352417734,0.0197241046516037,-0.37044888564057,0.00866212086621384,0.00421114203153432,0.0131291288359419,-0.0199773502724446,-0.0274484752026674,0.0382724766259304,0.0038477578081087,0.0111661888335262,-0.0098275003383811,-0.00839071382743562,0.000272637867374017,0.00819150051481527,-0.00428476150452228,0.0189708102345301,0.00898493543863302,-0.0114509959257834,0.0384597115610677,-0.00544697194396602,0.022730031989249,0.236316323500887,0.00939179335730326,0.00424177421469276,0.0166087525993684,-0.0194914287616399,-0.0331927052311465,0.0420620668754484,0.00368628492589819,0.0125305254283469,-0.00931569938717002,-0.00849525216838556,0.000319942338583936,4.84723780212539,3,0.681405208964264,4.98510520312563,2,0.736523319200485,4.92971221335702,3,0.708661417322835,4.96472722972023,3,0.735311932162326,0.171436636885695,0.765896361543403,0.38254264441747,0.41732014429371,-0.137867401000236,0.555974394928154,0.254945209132823,0.7517720933877,0.123913799814912,-0.0824744112316305,0.176765766726678,0.752601838651257,0.35809182964655,0.446005587895939,-0.117489427594843,0.732129172020075,0.135412288140511,0.912489536263947,0.0397721070017707,0.0553929897686052,0.725110113919224,0.139596037241083,0.931961479230554,0.0306020379714927,0.0203779734053926,0.786571873741749,0.10426158716241,0.89252932202586,0.0493775072215426,-0.0350150163632126,,,,,,,,,
FT0007,FT0007,60.1324143687559,63.9927314245284,,NI,0.00698234040807129,-0.00199100673903816,0.0166678609572146,0.00934327821420338,-0.00231202549552275,0.03237469402231,0.00750353751611475,-0.00404625029602994,0.0160026379197971,0.0133829870461234,0.0112174492820336,0.0373132552885159,No_MS2,63.9923742681478,63.9929233100397,59.5018374759276,61.4412758166559,10,7;1252;2626;3903;5020;6130;7204;8924;10023;11125;15841,,0,0.00726615143802387,-0.00189923599164607,0.017644021877355,0.00362518292246852,0.000414480298403584,0.0320261984575664,0.00285621694853359,0.0211012061503417,0.0205063680615482,0.00839349130350204,0.00558363570918133,0.0115180860623422,-0.0163016718773768,-0.0271599230631536,0.0106365343586063,0.00904670284528373,0.00764415386051965,-0.00245707060353849,0.000155977339673492,-0.036338078929331,0.00777338030529998,-0.0038782575232969,0.019467406734283,0.00318336826657425,-0.00853936705840005,0.0396084841363014,0.00611195993425191,0.0240393146250899,-0.0261607449629508,0.00913073318001938,0.00589688237075033,0.0145647445463084,-0.0155192148274508,-0.0326537095703593,0.0121191690785836,0.0092161664272672,0.00873262473248176,-0.00179166008063108,0.000501405247703896,-0.0368542336219765,5.10527733142329,3,0.772864930345245,5.20352257793435,2,0.811629315566323,5.16979928072601,3,0.791641429436705,5.2236155625784,3,0.822531798909752,0.271850754136856,0.56566945789118,0.487032615738467,0.312441953855321,-0.0982452465110537,0.632367414950572,0.19903051677866,0.787409945890977,0.103799103873591,-0.064521949302712,0.15675757833593,0.804771454325515,0.343127538502454,0.464544425226511,-0.118338231155106,0.829414121446829,0.0812285746939378,0.935427171602739,0.0289900191765563,0.0337232972083417,0.707447957757821,0.150305502785878,0.93065087178401,0.0312132114941014,-0.0200929846440525,0.670429112351335,0.173647135399517,0.836642830303896,0.0774599063242243,-0.0538162818523942,,,,,,,,,
FT0008,FT0008,45.7923973185483,68.9964357171445,,NI,0.0215468474853242,0.00543454339012172,-0.00584629527807577,0.0357825087674753,-0.00382857845618135,0.00289280520936604,0.0234360500749222,0.00525750486853322,-0.00995298330021586,0.0368973743952649,0.00457912577005734,-0.00350363530498802,No_MS2,68.9961755274796,68.9968155955872,43.9438416184676,46.7267565494165,11,8;1253;2627;3904;5021;6131;7205;8293;8925;10024;11126,,0,0.0221311623963029,0.00563581762115592,-0.00306765926052538,0.0329290721947612,-0.00992958283947753,0.00623081113771936,0.00756285202342286,0.00652240848391702,0.057681993295121,0.0212163179868366,0.00294838579374011,0.0305813238036159,-0.0159439044678811,-0.00149956271380461,-0.000436466173616538,-0.0237280176540546,0.00829920001008344,-0.00817587608231841,-0.00633103635343518,-0.0181028507513308,0.0239792688289941,0.00561875020933681,0.000864607341270678,0.0359115386464463,-0.0106305469306087,0.000564178133685862,0.0105053130554057,0.00659333923979578,0.0128437153173477,0.0229580532656167,0.00165327243249789,0.0344689900277343,-0.0144936991665756,-0.00209498556620265,-0.000619827725456142,-0.0251750431159453,0.00738225566763152,-0.00839401052995987,-0.00674504499358566,-0.0182459970635951,6.65771858690379,3,0.989703210175651,6.79334224537587,2,0.99091459721381,6.92288668777496,3,0.993337371290127,6.62903052903718,3,0.99030890369473,0.20089363527903,0.69703382237063,0.414974614203262,0.381978470152139,-0.13562365847208,0.332187674686217,0.47861648541583,0.620261724047768,0.207425018041436,-0.265168100871165,0.748918060146746,0.125565696282905,0.847608703625246,0.0718045924083763,0.0286880578666135,0.694506525412283,0.158323669383193,0.906390255181894,0.0426847723232567,-0.129544442399085,0.100238352078385,0.998966081769962,0.521850425988572,0.282453957680278,0.164311716338694,0.284583201852137,0.545790738679811,0.772938551481152,0.111855031066702,0.293856158737778,,,,,,,,,
FT0009,FT0009,45.8092947692603,69.9991712334435,,NI,0.0231177376454591,0.000398041043865982,0.00555395337183453,0.0241100331101414,-0.00543427705543077,0.00934640553300048,0.0250286446695066,-0.00144733049311161,0.00273131363638221,0.025812581796215,0.00740564532668318,0.0089573707156441,No_MS2,69.9988638502896,69.9993460285446,45.1221184096323,46.0296563681172,4,9;2628;5022;6132;12759;13570;15245;15842;16842;17423;17997,,0,0.0236703037991073,0.000624379392534995,0.00732592043419835,0.018215417811743,-0.00694547056539356,0.00979806963864678,0.003484889436104,-0.000972567617439833,0.0372514846068,0.0237575931273985,0.00295660626078043,0.0196003329367377,-0.0105647917422731,0.001163600559461,-0.0143317552286661,-0.0112439118564783,0.00809295803030587,-0.0123056167830616,0.0103912549137268,-0.000488199684040175,0.025541243038317,-0.00102092349308667,0.00974215059246003,0.0189275324415001,-0.00874596805135167,0.00905312828217823,0.00491247370035242,-0.00191819369558012,0.0378648833754764,0.0256877211314736,0.00160939949912209,0.0218641691654726,-0.0101740919157765,0.000784728967636647,-0.0148958425670799,-0.0120577558071821,0.00823164606017049,-0.012359648309885,0.0112791926678031,-0.000165694538996962,4.59076531660498,3,0.534827377347062,4.76166594884799,2,0.632344033918837,4.89377988326645,3,0.689279224712296,4.66896389557169,3,0.584494245911569,0.0500303991053655,1.30076603262395,0.217678438323873,0.662184586947508,-0.170900632243014,0.290306852796319,0.537142712371907,0.596445734347303,0.224429063050783,-0.303014566661477,0.182097678151352,0.739695591670672,0.363546288874575,0.439440284329206,-0.0781985789667079,0.706674091453758,0.150780830780831,0.906390255181894,0.0426847723232567,-0.132113934418463,0.161427370193966,0.792022828248103,0.61808618684362,0.208950962029638,0.0927020532763061,0.416654211363901,0.380224224151875,0.778553083378621,0.108711770979651,0.224815987694769,,,,,,,,,
FT0010,FT0010,451.789508332319,71.0136473774396,Massbank:PS008301 2-Propenolc acid|Vinylformic acid|Acrylic ,1,-0.0356934751561728,-0.00746693616756354,0.0131466750473781,0.00506415570967399,-0.00512500061637023,0.00737841648086029,-0.0385812405063648,-0.00734899802412607,0.0143198295294658,0.00846061207287866,0.00877243434898674,0.00387367371293331,No_MS2,71.013262479314,71.014000078538,450.489630821515,452.953183106447,10,10;1254;2630;3905;5023;6133;7206;8926;10025;11127;15843,,0,-0.0356909473188493,-0.00752108914937292,0.0134692141905445,0.00408353398806334,-0.00613683297181353,0.00952448369286248,-0.00607978225732655,-0.00303272460201047,-0.00570207801767589,-0.0343936871861512,-0.00491913821275058,0.00655611614822614,-0.00371689034391355,-0.00124136254261619,0.0197269054459956,0.0118746597005425,-0.00352215629133258,-0.00905055844393583,-0.00222522384052876,0.0369376517667227,-0.038535653568261,-0.0074047349856443,0.0162301032534572,0.00366875064726925,-0.00964687061082555,0.00648512630189701,-0.00644778864252243,-0.00393595388261136,-0.00649473784752502,-0.0371665965068467,-0.00343987684679761,0.00824940442610759,-0.00193736998093167,-0.000435492471911233,0.0207421322900845,0.0126784455344495,-0.00214749025521211,-0.00939526444882344,-0.00219572693155712,0.0373470749676619,4.51142903507144,3,0.480920654149001,4.47370559650096,2,0.448213204118716,4.07340239872042,3,0.247122955784373,4.55872559311154,3,0.519079345850999,0.4086287026621,0.388671131169157,0.608148673907764,0.215990235917049,0.0377234385704837,0.275927620706889,0.559204823913042,0.581865885336567,0.235177104646074,0.438026636351025,0.339128586194613,0.469635600657412,0.515412938834025,0.287844683197442,-0.0472965580400935,0.43632710637519,0.360187806074616,0.906090552686763,0.0428283977238339,0.400303197780541,0.126128285233303,0.899187508643129,0.560004381630993,0.251808574938947,-0.0850199966105771,0.235048022671512,0.628843397938666,0.772938551481152,0.111855031066702,-0.485323194391118,,,,,,,,,
