accession,name,monoisotopic_mass,formula
HMDB0000001,1-Methylhistidine,169.085126611,C7H11N3O2
HMDB0000002,"1,3-Diaminopropane",74.08439833,C3H10N2
HMDB0000005,2-Ketobutyric acid,102.031694058,C4H6O3
HMDB0000008,2-Hydroxybutyric acid,104.047344118,C4H8O3
HMDB0000010,2-Methoxyestrone,300.172544634,C19H24O3
HMDB0000011,3-Hydroxybutyric acid,104.047344122,C4H8O3
HMDB0000012,Deoxyuridine,228.074621504,C9H12N2O5
HMDB0000014,Deoxycytidine,227.090605919,C9H13N3O4
HMDB0000015,Cortexolone,346.214409448,C21H30O4
HMDB0000016,Deoxycorticosterone,330.219494826,C21H30O3
HMDB0000017,4-Pyridoxic acid,183.053157781,C8H9NO4
HMDB0000019,alpha-Ketoisovaleric acid,116.047344122,C5H8O3
HMDB0000020,p-Hydroxyphenylacetic acid,152.047344122,C8H8O3
HMDB0000021,Iodotyrosine,306.970536611,C9H10INO3
HMDB0000022,3-Methoxytyramine,167.094628665,C9H13NO2
HMDB0000023,(S)-3-Hydroxyisobutyric acid,104.047344122,C4H8O3
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),891.646933993,C48H93NO11S
HMDB0000026,Ureidopropionic acid,132.053492132,C4H8N2O3
HMDB0000027,Tetrahydrobiopterin,241.117489371,C9H15N5O3
HMDB0000030,Biotin,244.088163078,C10H16N2O3S
HMDB0000031,Androsterone,290.224580204,C19H30O2
HMDB0000032,7-Dehydrocholesterol,384.33921603,C27H44O
HMDB0000033,Carnosine,226.106590334,C9H14N4O3
HMDB0000034,Adenine,135.054495185,C5H5N5
HMDB0000036,Taurocholic acid,515.291673489,C26H45NO7S
HMDB0000037,Aldosterone,360.193674006,C21H28O5
HMDB0000038,Dihydrobiopterin,239.101839307,C9H13N5O3
HMDB0000039,Butyric acid,88.0524295,C4H8O2
HMDB0000042,Acetic acid,60.021129372,C2H4O2
HMDB0000043,Betaine,118.086803633,C5H12NO2
HMDB0000044,Ascorbic acid,176.032087988,C6H8O6
HMDB0000045,Adenosine monophosphate,347.063084339,C10H14N5O7P
HMDB0000048,Melibiose,342.116211546,C12H22O11
HMDB0000050,Adenosine,267.096753929,C10H13N5O4
HMDB0000051,Ammonia,17.026549101,H3N
HMDB0000052,Argininosuccinic acid,290.122634328,C10H18N4O6
HMDB0000053,Androstenedione,286.193280076,C19H26O2
HMDB0000054,Bilirubin,584.263484904,C33H36N4O6
HMDB0000055,Cellobiose,342.116211546,C12H22O11
HMDB0000056,beta-Alanine,89.047678473,C3H7NO2
HMDB0000058,Cyclic AMP,329.052519653,C10H12N5O6P
HMDB0000060,Acetoacetic acid,102.031694058,C4H6O3
HMDB0000061,"Adenosine 3',5'-diphosphate",427.029414749,C10H15N5O10P2
HMDB0000062,L-Carnitine,162.113018383,C7H16NO3
HMDB0000063,Cortisol,362.20932407,C21H30O5
HMDB0000064,Creatine,131.069476547,C4H9N3O2
HMDB0000067,Cholesterol,386.354866094,C27H46O
HMDB0000068,Epinephrine,183.089543287,C9H13NO3
HMDB0000070,Pipecolic acid,129.078978601,C6H11NO2
HMDB0000071,Deoxyinosine,252.085854882,C10H12N4O4
HMDB0000072,cis-Aconitic acid,174.016437924,C6H6O6
HMDB0000073,Dopamine,153.078978601,C8H11NO2
HMDB0000076,Dihydrouracil,114.042927446,C4H6N2O2
HMDB0000077,Dehydroepiandrosterone,288.20893014,C19H28O2
HMDB0000078,Cysteinylglycine,178.041212886,C5H10N2O3S
HMDB0000079,Dihydrothymine,128.058577506,C5H8N2O2
HMDB0000082,Cytidine triphosphate,482.984511771,C9H16N3O14P3
HMDB0000085,Deoxyguanosine,267.096753929,C10H13N5O4
HMDB0000086,Glycerophosphocholine,257.102824366,C8H20NO6P
HMDB0000087,Dimethylamine,45.057849229,C2H7N
HMDB0000089,Cytidine,243.085520541,C9H13N3O5
HMDB0000092,Dimethylglycine,103.063328537,C4H9NO2
HMDB0000094,Citric acid,192.02700261,C6H8O7
HMDB0000095,Cytidine monophosphate,323.051850951,C9H14N3O8P
HMDB0000097,Choline,104.107539075,C5H14NO
HMDB0000098,D-Xylose,150.05282343,C5H10O5
HMDB0000099,L-Cystathionine,222.067427636,C7H14N2O4S
HMDB0000101,Deoxyadenosine,251.101839307,C10H13N5O3
HMDB0000107,Galactitol,182.07903818,C6H14O6
HMDB0000108,Ethanol,46.041864814,C2H6O
HMDB0000112,gamma-Aminobutyric acid,103.063328537,C4H9NO2
HMDB0000114,Glycerylphosphorylethanolamine,215.055873697,C5H14NO6P
HMDB0000115,Glycolic acid,76.016043994,C2H4O3
HMDB0000118,Homovanillic acid,182.057908808,C9H10O4
HMDB0000119,Glyoxylic acid,74.00039393,C2H2O3
HMDB0000121,Folic acid,441.139681375,C19H19N7O6
HMDB0000122,D-Glucose,180.063388116,C6H12O6
HMDB0000123,Glycine,75.032028409,C2H5NO2
HMDB0000124,Fructose 6-phosphate,260.029718526,C6H13O9P
HMDB0000125,Glutathione,307.083805981,C10H17N3O6S
HMDB0000126,Glycerol 3-phosphate,172.013674532,C3H9O6P
HMDB0000127,D-Glucuronic acid,194.042652674,C6H10O7
HMDB0000128,Guanidoacetic acid,117.053826483,C3H7N3O2
HMDB0000130,Homogentisic acid,168.042258744,C8H8O4
HMDB0000131,Glycerol,92.047344122,C3H8O3
HMDB0000132,Guanine,151.049409807,C5H5N5O
HMDB0000133,Guanosine,283.091668551,C10H13N5O5
HMDB0000134,Fumaric acid,116.010958616,C4H4O4
HMDB0000138,Glycocholic acid,465.309038113,C26H43NO6
HMDB0000139,Glyceric acid,106.02660868,C3H6O4
HMDB0000142,Formic acid,46.005479308,CH2O2
HMDB0000143,D-Galactose,180.063388116,C6H12O6
HMDB0000145,Estrone,270.161979948,C18H22O2
HMDB0000148,L-Glutamic acid,147.053157781,C5H9NO4
HMDB0000149,Ethanolamine,61.052763851,C2H7NO
HMDB0000150,Gluconolactone,178.047738052,C6H10O6
HMDB0000151,Estradiol,272.177630012,C18H24O2
HMDB0000152,Gentisic acid,154.026608673,C7H6O4
HMDB0000153,Estriol,288.172544634,C18H24O3
HMDB0000156,Malic acid,134.021523302,C4H6O5
HMDB0000157,Hypoxanthine,136.03851077,C5H4N4O
HMDB0000158,L-Tyrosine,181.073893223,C9H11NO3
HMDB0000159,L-Phenylalanine,165.078978601,C9H11NO2
HMDB0000161,L-Alanine,89.047678473,C3H7NO2
HMDB0000162,L-Proline,115.063328537,C5H9NO2
HMDB0000163,D-Maltose,342.116211546,C12H22O11
HMDB0000164,Methylamine,31.042199165,CH5N
HMDB0000167,L-Threonine,119.058243159,C4H9NO3
HMDB0000168,L-Asparagine,132.053492132,C4H8N2O3
HMDB0000169,D-Mannose,180.063388116,C6H12O6
HMDB0000172,L-Isoleucine,131.094628665,C6H13NO2
HMDB0000174,L-Fucose,164.068473494,C6H12O5
HMDB0000175,Inosinic acid,348.047099924,C10H13N4O8P
HMDB0000176,Maleic acid,116.010958616,C4H4O4
HMDB0000177,L-Histidine,155.069476547,C6H9N3O2
HMDB0000181,L-Dopa,197.068807845,C9H11NO4
HMDB0000182,L-Lysine,146.105527702,C6H14N2O2
HMDB0000186,Alpha-Lactose,342.116211546,C12H22O11
HMDB0000187,L-Serine,105.042593095,C3H7NO3
HMDB0000189,Inosine triphosphate,507.979760744,C10H15N4O14P3
HMDB0000190,L-Lactic acid,90.031694058,C3H6O3
HMDB0000191,L-Aspartic acid,133.037507717,C4H7NO4
HMDB0000192,L-Cystine,240.023848262,C6H12N2O4S2
HMDB0000193,Isocitric acid,192.02700261,C6H8O7
HMDB0000194,Anserine,240.122240398,C10H16N4O3
HMDB0000195,Inosine,268.080769514,C10H12N4O5
HMDB0000197,Indoleacetic acid,175.063328537,C10H9NO2
HMDB0000201,L-Acetylcarnitine,204.123583069,C9H18NO4
HMDB0000202,Methylmalonic acid,118.02660868,C4H6O4
HMDB0000205,Phenylpyruvic acid,164.047344122,C9H8O3
HMDB0000206,N6-Acetyl-L-lysine,188.116092388,C8H16N2O3
HMDB0000207,Oleic acid,282.255880332,C18H34O2
HMDB0000208,Oxoglutaric acid,146.021523302,C5H6O5
HMDB0000209,Phenylacetic acid,136.0524295,C8H8O2
HMDB0000210,Pantothenic acid,219.110672659,C9H17NO5
HMDB0000211,myo-Inositol,180.063388116,C6H12O6
HMDB0000212,N-Acetylgalactosamine,221.089937217,C8H15NO6
HMDB0000213,myo-Inositol 1-phosphate,260.029718997,C6H13O9P
HMDB0000214,Ornithine,132.089877638,C5H12N2O2
HMDB0000215,N-Acetyl-D-glucosamine,221.089937217,C8H15NO6
HMDB0000216,Norepinephrine,169.073893223,C8H11NO3
HMDB0000217,NADP,743.075452041,C21H28N7O17P3
HMDB0000218,Orotidylic acid,368.02569578,C10H13N2O11P
HMDB0000220,Palmitic acid,256.240230268,C16H32O2
HMDB0000221,NADPH,745.091102105,C21H30N7O17P3
HMDB0000222,Palmitoylcarnitine,400.342135385,C23H46NO4
HMDB0000223,Oxalacetic acid,132.005873238,C4H4O5
HMDB0000224,O-Phosphoethanolamine,141.019094261,C2H8NO4P
HMDB0000225,Oxoadipic acid,160.037173366,C6H8O5
HMDB0000226,Orotic acid,156.017106626,C5H4N2O4
HMDB0000227,Mevalonic acid,148.073558872,C6H12O4
HMDB0000228,Phenol,94.041864814,C6H6O
HMDB0000229,Nicotinamide ribotide,335.06442701,C11H16N2O8P
HMDB0000230,N-Acetylneuraminic acid,309.105981211,C11H19NO9
HMDB0000232,Quinolinic acid,167.021857653,C7H5NO4
HMDB0000234,Testosterone,288.20893014,C19H28O2
HMDB0000235,Thiamine,265.112306876,C12H17N4OS
HMDB0000237,Propionic acid,74.036779436,C3H6O2
